" Please evaluate and grade it."," Vui lòng đánh giá và chấm điểm."
"% completed","% hoàn thành"
"<a href="/app/lms-settings/LMS%20Settings">LMS Settings</a>","<a href="/app/lms-settings/LMS%20Settings">Cấu hình hệ thống</a>"
"<a href="/app/web-page/new-web-page-1">Setup a Home Page</a>","<a href="/app/web-page/new-web-page-1">Cài đặt trang chủ</a>"
"<a href="/lms/courses">Visit LMS Portal</a>","<a href="/lms/courses">Cổng thông tin điện tử</a>"
"<a href="/lms/courses/new/edit">Create a Course</a>","<a href="/lms/courses/new/edit">Tạo khóa học</a>"
"<a href="https://docs.frappe.io/learning">Documentation</a>","<a href="https://docs.frappe.io/learning">Tài liệu hướng dẫn</a>"
"<span class="h4"><b>Get Started</b></span>","Tổng quan"
"<span style="font-size: 18px;"><b>Statistics</b></span>","Thống kê"
"A course cannot have both paid certificate and certificate of completion.","Chứng chỉ hoàn thành không cần trả phí"
"A one line introduction to the course that appears on the course card","Mô tả ngắn gọn về khóa học"
"About","Thông tin"
"About this batch","Thông tin lớp học"
"Acceptance for Terms and/or Policies","Đồng ý với điều khoản hoặc chính sách"
"Accepted","Đồng ý"
"Account ID","ID tài khoản"
"Achievements","Kết quả đạt được"
"Active","Đang hoạt động"
"Add","Thêm"
"Add Chapter","Thêm mục"
"Add Lesson","Thêm bài giảng"
"Add Slot","Thêm vị trí"
"Add a Chapter","Thêm mục"
"Add a Lesson","Thêm bài giảng"
"Add a Student","Thêm học sinh"
"Add a chapter","Thêm mục"
"Add a course","Thêm khóa học"
"Add a keyword and then press enter","Thêm ký tự bất kỳ và nhấn phím enter"
"Add a lesson","Thêm bài giảng"
"Add a new question","Thêm câu hỏi"
"Add a quiz to your lesson","Thêm câu hỏi trắc nghiệm vào bài giảng"
"Add an assessment","Thêm bài tập"
"Add an assignment to your lesson","Thêm bài tập vào bài giảng"
"Add an existing question","Thêm câu hỏi có sẵn"
"Add at least one possible answer for this question: {0}","Cần thêm ít nhất một câu trả lời: {0}"
"Add web page to sidebar","Thêm trang web vào danh mục"
"Add your assignment as {0}","Thêm bài tập dưới dạng {0}"
"Address","Địa chỉ"
"Address Line 1","Địa chỉ dòng 1"
"Address Line 2","Địa chỉ dòng 2"
"Admin","Quản trị viên"
"All","Tất cả"
"All Batches","Danh sách lớp học"
"All Certified Participants","Danh sách học viên đã được cấp chứng chỉ"
"All Courses","Danh sách khóa học"
"All Feedback","Danh sách phản hồi"
"All Submissions","Danh sách nộp"
"All questions should have the same marks if the limit is set.","Tất cả câu hỏi phải có cùng số điểm nếu đã đặt giới hạn."
